"State","Abbrv.","Census_April_1_2010","Est_Base_April_1_2010","2010.0","2011.0","2012.0","2013.0","2014.0"
".Alabama","AL","4779736.0","4780125.0","4785437.0","4799069.0","4815588.0","4830081.0","4841799.0"
".Alaska","AK","710231.0","710249.0","713910.0","722128.0","730443.0","737068.0","736283.0"
".Arizona","AZ","6392017.0","6392288.0","6407172.0","6472643.0","6554978.0","6632764.0","6730413.0"
".Arkansas","AR","2915918.0","2916031.0","2921964.0","2940667.0","2952164.0","2959400.0","2967392.0"
".California","CA","37253956.0","37254519.0","37319502.0","37638369.0","37948800.0","38260787.0","38596972.0"
".Colorado","CO","5029196.0","5029319.0","5047349.0","5121108.0","5192647.0","5269035.0","5350101.0"
".Connecticut","CT","3574097.0","3574147.0","3579114.0","3588283.0","3594547.0","3594841.0","3594524.0"
".Delaware","DE","897934.0","897937.0","899593.0","907381.0","915179.0","923576.0","932487.0"
".District of Columbia","DC","601723.0","601767.0","605226.0","619800.0","634924.0","650581.0","662328.0"
".Florida","FL","18801310.0","18804564.0","18845537.0","19053237.0","19297822.0","19545621.0","19845911.0"
".Georgia","GA","9687653.0","9688729.0","9711881.0","9802431.0","9901430.0","9972479.0","10067278.0"
".Hawaii","HI","1360301.0","1360307.0","1363963.0","1379329.0","1394804.0","1408243.0","1414538.0"
".Idaho","ID","1567582.0","1567657.0","1570746.0","1583910.0","1595324.0","1611206.0","1631112.0"
".Illinois","IL","12830632.0","12831572.0","12840503.0","12867454.0","12882510.0","12895129.0","12884493.0"
".Indiana","IN","6483802.0","6484051.0","6490432.0","6516528.0","6537703.0","6568713.0","6593644.0"
".Iowa","IA","3046355.0","3046871.0","3050745.0","3066336.0","3076190.0","3092997.0","3109350.0"
".Kansas","KS","2853118.0","2853123.0","2858190.0","2869225.0","2885257.0","2893212.0","2900475.0"
".Kentucky","KY","4339367.0","4339333.0","4348181.0","4369821.0","4386346.0","4404659.0","4414349.0"
".Louisiana","LA","4533372.0","4533487.0","4544532.0","4575625.0","4600972.0","4624527.0","4644013.0"
".Maine","ME","1328361.0","1328358.0","1327629.0","1328284.0","1327729.0","1328009.0","1330513.0"
".Maryland","MD","5773552.0","5773794.0","5788645.0","5839419.0","5886992.0","5923188.0","5957283.0"
".Massachusetts","MA","6547629.0","6547785.0","6566307.0","6613583.0","6663005.0","6713315.0","6762596.0"
".Michigan","MI","9883640.0","9884116.0","9877510.0","9882412.0","9897145.0","9913065.0","9929848.0"
".Minnesota","MN","5303925.0","5303927.0","5310828.0","5346143.0","5376643.0","5413479.0","5451079.0"
".Mississippi","MS","2967297.0","2968130.0","2970548.0","2978731.0","2983816.0","2988711.0","2990468.0"
".Missouri","MO","5988927.0","5988950.0","5995974.0","6010275.0","6024367.0","6040715.0","6056202.0"
".Montana","MT","989415.0","989407.0","990697.0","997316.0","1003783.0","1013569.0","1021869.0"
".Nebraska","NE","1826341.0","1826305.0","1829542.0","1840672.0","1853303.0","1865279.0","1879321.0"
".Nevada","NV","2700551.0","2700677.0","2702405.0","2712730.0","2743996.0","2775970.0","2817628.0"
".New Hampshire","NH","1316470.0","1316462.0","1316762.0","1320202.0","1324232.0","1326622.0","1333341.0"
".New Jersey","NJ","8791894.0","8791978.0","8799446.0","8828117.0","8844942.0","8856972.0","8864525.0"
".New Mexico","NM","2059179.0","2059199.0","2064552.0","2080450.0","2087309.0","2092273.0","2089568.0"
".New York","NY","19378102.0","19378144.0","19399878.0","19499241.0","19572932.0","19624447.0","19651049.0"
".North Carolina","NC","9535483.0","9535751.0","9574323.0","9657592.0","9749476.0","9843336.0","9932887.0"
".North Dakota","ND","672591.0","672576.0","674715.0","685225.0","701176.0","722036.0","737401.0"
".Ohio","OH","11536504.0","11536751.0","11539336.0","11544663.0","11548923.0","11576684.0","11602700.0"
".Oklahoma","OK","3751351.0","3751582.0","3759944.0","3788379.0","3818814.0","3853214.0","3878187.0"
".Oregon","OR","3831074.0","3831079.0","3837491.0","3872036.0","3899001.0","3922468.0","3963244.0"
".Pennsylvania","PA","12702379.0","12702868.0","12711160.0","12745815.0","12767118.0","12776309.0","12788313.0"
".Rhode Island","RI","1052567.0","1052964.0","1053959.0","1053649.0","1054621.0","1055081.0","1055936.0"
".South Carolina","SC","4625364.0","4625366.0","4635649.0","4671994.0","4717354.0","4764080.0","4823617.0"
".South Dakota","SD","814180.0","814198.0","816166.0","823579.0","833566.0","842316.0","849129.0"
".Tennessee","TN","6346105.0","6346276.0","6355311.0","6399291.0","6453898.0","6494340.0","6541223.0"
".Texas","TX","25145561.0","25146091.0","25241971.0","25645629.0","26084481.0","26480266.0","26964333.0"
".Utah","UT","2763885.0","2763891.0","2775332.0","2814384.0","2853375.0","2897640.0","2936879.0"
".Vermont","VT","625741.0","625737.0","625879.0","627049.0","626090.0","626210.0","625214.0"
".Virginia","VA","8001024.0","8001049.0","8023699.0","8101155.0","8185080.0","8252427.0","8310993.0"
".Washington","WA","6724540.0","6724540.0","6742830.0","6826627.0","6897058.0","6963985.0","7054655.0"
".West Virginia","WV","1852994.0","1853018.0","1854239.0","1856301.0","1856872.0","1853914.0","1849489.0"
".Wisconsin","WI","5686986.0","5687285.0","5690475.0","5705288.0","5719960.0","5736754.0","5751525.0"
".Wyoming","WY","563626.0","563775.0","564487.0","567299.0","576305.0","582122.0","582531.0"
